lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,Stories,hasGarage,hasAssociation,HasSecurityFeatures
5749.0,2508.0,2.9333333333333336,3.6666666666666665,1085,11,3.0,3,1,1,1,1
12196.8,1791.0,1.2,3.6666666666666665,1051,12,2.0,3,1,1,1,1
142441.2,4491.0,2.466666666666667,7.0,1381,16,7.0,5,2,1,1,0
4007.0,1268.0,1.7333333333333334,3.0,1457,13,2.0,3,1,0,1,0
7187.0,2903.0,3.266666666666667,7.666666666666668,1259,14,3.0,3,1,0,1,0
11325.6,3033.0,2.033333333333333,7.0,1277,16,4.0,4,2,0,1,0
12196.8,2573.0,2.733333333333333,3.6666666666666665,1085,11,3.0,3,2,0,1,0
13503.6,2340.0,0.9,8.666666666666666,1632,16,3.0,4,2,1,1,1
7710.0,3187.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,2,0,1,0
7492.0,3675.0,2.1333333333333333,7.0,1277,16,4.0,5,2,1,1,1
5000.0,1641.0,3.1666666666666665,3.0,1457,13,2.0,3,1,1,1,1
5532.0,1413.0,2.9666666666666663,3.6666666666666665,1532,12,2.0,3,1,0,1,0
6229.0,1326.0,2.1666666666666665,2.6666666666666665,1478,13,2.0,3,1,1,1,0
4312.0,1203.0,1.8666666666666665,3.0,1457,13,2.0,3,1,0,1,0
8319.0,2922.0,2.833333333333333,7.0,1523,17,4.0,3,2,1,1,0
7405.0,2428.0,1.4666666666666668,8.0,1275,15,3.0,3,2,1,1,1
10000.0,1256.0,3.3000000000000003,3.0,1457,13,2.0,3,1,1,1,1
6011.0,3047.0,1.3,2.6666666666666665,1063,14,3.0,3,2,0,1,0
7274.0,1712.0,1.7000000000000002,3.0,1457,13,3.0,3,2,0,1,0
13503.6,2234.0,0.9,8.666666666666666,1632,16,3.0,3,1,0,1,0
4835.0,1315.0,3.1,3.6666666666666665,1085,11,2.0,3,1,1,1,0
20037.6,2089.0,2.2,7.0,1523,17,2.0,3,1,0,0,0
9626.0,3319.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,5,2,0,1,1
7230.0,3415.0,3.2999999999999994,7.666666666666668,1259,14,4.0,5,2,1,1,0
18295.2,4137.0,2.033333333333333,7.0,1277,16,4.0,5,2,1,1,0
5880.0,1587.0,1.7000000000000002,3.0,1457,13,2.0,4,1,0,1,0
6054.0,2766.0,1.4,8.0,1275,15,3.0,4,2,1,1,1
5000.0,2643.0,3.1333333333333333,3.0,1457,13,3.0,4,2,0,1,0
8537.0,2576.0,2.833333333333333,7.0,1523,17,3.0,3,2,1,0,0
4312.0,1203.0,1.8666666666666665,3.0,1457,13,2.0,3,1,1,1,0
10236.0,3257.0,1.8666666666666665,8.333333333333334,1481,16,4.0,5,2,0,1,0
6141.0,2505.0,1.4,2.6666666666666665,1063,14,3.0,4,2,1,1,1
6098.0,1659.0,2.766666666666667,3.6666666666666665,1085,11,3.0,3,2,0,1,0
19166.4,3486.0,2.5,8.333333333333334,1533,17,4.0,4,2,1,1,1
6098.0,1321.0,2.2,3.0,1457,13,3.0,3,2,1,1,1
55321.2,2100.0,4.833333333333333,7.0,1177,16,2.0,3,1,1,1,0
14374.8,1500.0,2.9,3.0,1457,13,2.0,3,1,0,0,0
8520.0,1616.0,0.9333333333333332,8.666666666666666,1632,16,3.0,3,2,1,1,1
6795.0,2046.0,1.0,3.0,1108,14,2.0,4,1,1,1,0
6534.0,1411.0,1.6666666666666667,3.0,1457,13,2.0,3,1,0,1,0
4704.0,1892.0,1.7666666666666666,3.0,1457,13,3.0,3,2,0,1,0
28749.6,4558.0,2.5,8.333333333333334,1533,17,5.0,5,2,1,1,1
5488.0,2095.0,2.9,3.6666666666666665,1532,12,2.0,3,1,1,1,1
8363.0,2623.0,0.8666666666666667,7.0,1381,16,3.0,4,1,1,1,1
27442.8,1947.0,3.4,7.0,1277,16,2.0,2,2,1,1,1
9757.0,2192.0,1.9,8.333333333333334,1481,16,2.0,3,1,0,1,0
8319.0,3352.0,0.7000000000000001,7.666666666666668,1281,14,3.0,5,2,1,1,1
10541.0,1268.0,2.2333333333333334,2.6666666666666665,1478,13,2.0,3,1,1,1,0
20908.8,4867.0,2.5,8.333333333333334,1533,17,4.0,4,2,1,1,0
6490.0,1306.0,3.233333333333333,3.6666666666666665,1085,11,2.0,3,1,1,1,0
6272.0,2398.0,1.0,3.0,1108,14,3.0,4,2,0,1,0
8276.0,4274.0,2.1,7.0,1277,16,4.0,4,2,0,1,0
2613.0,1372.0,2.266666666666667,3.0,1457,13,3.0,3,1,0,1,0
36590.4,3695.0,1.7666666666666666,8.666666666666666,1632,16,4.0,4,2,1,1,1
9796.0,2448.0,2.8000000000000003,7.0,1523,17,2.0,4,2,1,1,0
