,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
81,6969.0,2682.0,2.9,3.6666666666666665,1532,12,5.0,7,375000.0,78744,2,1,1,241932936
82,4573.0,1936.0,3.2000000000000006,3.0,1457,13,3.0,4,229900.0,78725,2,1,1,89550803
83,10105.0,3794.0,2.1333333333333333,7.0,1277,16,4.0,4,549900.0,78726,2,1,0,29370898
84,10367.0,2967.0,2.9333333333333336,7.0,1523,17,3.0,4,690000.0,78750,2,0,0,29358990
85,7501.0,3787.0,3.2999999999999994,7.666666666666668,1259,14,4.0,5,584900.0,78717,2,1,0,116080957
86,7623.0,2314.0,1.3333333333333333,2.6666666666666665,1063,14,3.0,5,287500.0,78660,1,1,0,111373282
87,11325.6,2753.0,0.8333333333333334,8.666666666666666,1632,16,3.0,5,599800.0,78750,1,0,1,29375979
88,6185.0,2068.0,2.9,3.6666666666666665,1532,12,3.0,4,325000.0,78744,2,1,0,241932935
89,5140.0,1791.0,1.6333333333333335,8.333333333333334,1481,16,3.0,3,350000.0,78717,2,1,1,80115957
90,11325.6,3338.0,2.1333333333333333,7.0,1277,16,4.0,4,574900.0,78726,2,1,0,29370894
91,6368.0,2283.0,0.6,7.0,1381,16,3.0,4,374000.0,78750,2,1,0,121658485
92,27442.8,2997.0,0.8333333333333334,8.666666666666666,1632,16,3.0,4,699900.0,78750,1,0,1,29375978
93,7274.0,1225.0,2.0333333333333337,3.0,1457,13,2.0,3,205000.0,78725,1,1,0,145654939
94,9670.0,2864.0,2.066666666666667,7.0,1277,16,3.0,5,425000.0,78726,1,1,1,29370884
95,3920.0,1573.0,3.4333333333333336,7.0,1177,16,2.0,3,425000.0,78731,1,0,0,29351485
96,10454.0,2656.0,1.2,9.0,1616,16,3.0,4,684000.0,78750,2,0,1,29372475
